Key,Id,Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),Dutch(nl),English(en),Finnish(fi),French(fr),German(de),Hindi(hi),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Swedish(sv),Turkish(tr)
"WORD_MENU_APPLICATON_CLOSE",552562152116224,"应用结束","应用程序结束","App sluiten","App exit","Sovelluksen sulkeminen","Application terminée","App beenden","ऐप बंद करें","Chiusura dell'app.","アプリ終了","앱 종료","Zamknij aplikację","Fechar app","Закрыть приложение","Cerrar aplicación","Avsluta appen","Uygulama kapandı."
"WORD_MENU_SELECT_MODEL",557971768283136,"模型添加・修改","模型添加・修改","Model toevoegen of wijzigen","Model addition/change","Malli lisäys/muutos","Ajout ou modification de modèle","Modell hinzufügen oder ändern","मॉडल जोड़ना/बदलना","Aggiunta o modifica del modello","モデル追加・変更","모델 추가・변경","Dodanie/zmiana modelu","Adição ou alteração de modelo","Добавление и изменение модели.","Añadir o cambiar el modelo.","Modell tillägg och ändring","Model ekleme/değiştirme"
"WORD_MENU_HELP",557971768283134,"帮助","帮助","Hulp","Help","Apua","Aide","Hilfe","सहायता","Aiuto","ヘルプ","도움","Pomoc","Ajuda","Помощь","ayuda","Hjälp","Yardım"
"WORD_MENU_APPLICATOIN_SETTING",557971768283131,"设置","设置","Instelling","Setting","Asetus","paramètres","Einstellung","सेटिंग्स","Impostazioni","設定","설정","ustawienia","Configuração","установка","Configuración","Inställningar","Ayarlar"
"MSG_NEW_VERSION",2499933916303360,"新版本的v{0}已发布。","新的v{0}版本已经发布。","De nieuwe versie van v{0} is uitgebracht.","A new version v{0} has been released.","Uusi versio v{0} on julkaistu.","La nouvelle version de v{0} a été publiée.","Die neue Version v{0} ist veröffentlicht worden.","नया वर्जन v{0} जारी किया गया है।","È stata rilasciata la nuova versione di v{0}.","新しいVerのv{0}が\nリリースされています","새로운 Ver의 v{0}가\n배포되었습니다","Nowa wersja v{0} została wydana.","A nova versão v{0} foi lançada.","Выпущена новая версия v{0}.","Se ha lanzado la nueva versión de v{0}.","En ny version av v{0} har släppts.","Yeni v{0} versiyonu yayınlandı."
"WORD_CLOSE_BUTTON_TEXT",3116372423544832,"关闭","关闭","Sluiten","Close","Sulje","Fermer","Schließen","बंद करें","Chiudere","閉じる","닫기","Zamknij","Fechar","Закрыть","cerrar","Stänga","Kapatmak"
"MSG_SKIP_UPDATE_DIALOG_TOGGLE_TEXT",3116588740579328,"在下一个版本之前不显示对话框。","在下一个版本之前不显示对话框。","Toon geen dialoog tot de volgende versie.","Do not display the dialog until the next version.","Älä näytä dialogia seuraavaan versioon asti.","Ne pas afficher de dialogue jusqu'à la prochaine version","Den Dialog bis zur nächsten Version nicht anzeigen.","अगले संस्करण तक डायलॉग नहीं दिखाएं।","Non mostrare il dialogo fino alla prossima versione.","次のversionまでダイアログを表示しない","다음 버전까지 다이얼로그를 표시하지 않음","Nie wyświetlaj dialogu do następnej wersji.","Não mostrar o diálogo até a próxima versão.","Не показывать диалог до следующей версии.","No mostrar diálogos hasta la próxima versión.","Visa inte dialogrutan tills nästa version.","Sonraki sürüme kadar diyalog gösterme."
"WORD_SEND_MESSAGE_BUTTON_TEXT",4547369455259648,"发送","发送","Verzenden","Send","Lähetä","Envoi","Übertragen","भेजें","Invio","送信","전송","Wysłane","Envio","Отправка","Enviar","Skicka","Gönderim"
"WORD_AI_CHAT",4599798494334976,"聊天","聊天","Chat","Chat","Keskustelu","Chat","Chat","चैट","Chat","チャット","챗봇","Czat","Bate-papo","Чат","chat","Chatt","sohbet"
"WORD_WEB_UI_BUTTON",4600571496173568,"网页界面","网页用户界面","Webinterface","Web UI","Verkkosivun käyttöliittymä","Interface utilisateur web","Web-Benutzeroberfläche","वेब यूआई","Interfaccia web","ウェブUI","웹 UI","Interfejs webowy","Interface web","Веб-интерфейс","Interfaz web","Webb-UI","Web Arayüzü"
